>call python -m cProfile -s time d:profile-arcpy-listFC.py

Looking in "X:\Env-dat.081\source\yt_courbe_niveau_imperial.gdb"
         43929 function calls (41929 primitive calls) in 2099.317 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2072.454 2072.454 2072.454 2072.454 {built-in method listfeatureclasses}
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
      330    0.000    0.000    0.000    0.000 {repr}
      284    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       19    0.000    0.000    0.000    0.000 nosetester.py:137(__init__)
       47    0.000    0.000    0.003    0.000 glob.py:80(glob0)
       26    0.000    0.000    0.000    0.000 {_sre.compile}
       27    0.000    0.000    0.000    0.000 core.py:821(__init__)
      119    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
      354    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       23    0.000    0.000    0.001    0.000 core.py:5932(getdoc)
        1    0.000    0.000    0.002    0.002 ElementPath.py:59(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
        1    0.000    0.000 2072.455 2072.455 _base.py:310(listFeatureClasses)
       71    0.000    0.000    0.000    0.000 functools.py:39(wraps)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       26    0.000    0.000    0.018    0.001 sre_compile.py:481(_code)
       40    0.000    0.000    0.001    0.000 core.py:107(get_object_signature)
      158    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
       40    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
        1    0.000    0.000    0.000    0.000 numerictypes.py:456(_set_array_types)
        1    0.000    0.000    0.000    0.000 cartography.py:19(<module>)
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
       21    0.000    0.000    0.000    0.000 numerictypes.py:217(_evalname)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
        1    0.000    0.000    0.000    0.000 conversion.py:15(<module>)
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       78    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      137    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E227020}
       22    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       49    0.000    0.000    0.000    0.000 {all}
        1    0.000    0.000    0.000    0.000 mixins.py:600(MapDocumentMethods)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
      122    0.000    0.000    0.000    0.000 {filter}
       69    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    2.713    2.713 _base.py:528(GPEnvironments)
        1    0.000    0.000    0.000    0.000 scimath.py:17(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2574(MaskedArray)
        1    0.000    0.000    0.000    0.000 token.py:3(<module>)
       18    0.000    0.000    0.000    0.000 core.py:905(__init__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
    61/28    0.000    0.000    0.000    0.000 _base.py:512(fixcol)
      468    0.000    0.000    0.000    0.000 sre_compile.py:25(_identityfunction)
       77    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      256    0.000    0.000    0.000    0.000 {chr}
       26    0.000    0.000    0.000    0.000 sre_parse.py:179(__init__)
        4    0.000    0.000    0.001    0.000 warnings.py:45(filterwarnings)
        1    0.000    0.000    0.000    0.000 getlimits.py:2(<module>)
       72    0.000    0.000    0.000    0.000 ntpath.py:42(normcase)
        1    0.000    0.000    0.001    0.001 difflib.py:29(<module>)
      138    0.000    0.000    0.000    0.000 {method 'find' of 'unicode' objects}
       47    0.000    0.000    0.000    0.000 sre_parse.py:226(_class_escape)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
        1    0.000    0.000    0.000    0.000 numerictypes.py:343(_add_integer_aliases)
       98    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {_ctypes.POINTER}
        1    0.000    0.000   20.324   20.324 _base.py:582(__setitem__)
      103    0.000    0.000    0.000    0.000 {_sre.getlower}
      542    0.000    0.000    0.000    0.000 {ord}
      159    0.000    0.000    0.000    0.000 sre_parse.py:135(__setitem__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:286(_add_types)
       50    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
        1    0.000    0.000    0.000    0.000 _base.py:51(Geoprocessor)
       52    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
      124    0.000    0.000    0.000    0.000 {method 'join' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 stats.py:22(<module>)
       68    0.000    0.000    0.000    0.000 inspect.py:67(ismethod)
        1    0.000    0.000    0.000    0.000 analysis.py:19(<module>)
       68    0.000    0.000    0.000    0.000 inspect.py:209(iscode)
        1    0.000    0.000    0.001    0.001 arcobjects.py:1126(SpatialReference)
       49    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {arcgisscripting._listDateTimeStringFormats}
        6    0.000    0.000    0.006    0.001 string.py:148(substitute)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _mapping.py:22(constants)
       72    0.000    0.000    0.000    0.000 numerictypes.py:128(english_lower)
        1    0.000    0.000    0.000    0.000 memmap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:785(_construct_lookups)
      340    0.000    0.000    0.000    0.000 {method 'isalnum' of 'str' objects}
       68    0.000    0.000    0.000    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 server.py:17(<module>)
        1    0.000    0.000    0.000    0.000 arcobjects.py:358(GeoProcessor)
      119    0.000    0.000    0.000    0.000 opcode.py:27(def_op)
        1    0.000    0.000    0.000    0.000 edit.py:16(<module>)
       28    0.000    0.000    0.034    0.001 re.py:188(compile)
       21    0.000    0.000    0.000    0.000 {numpy.core.multiarray.empty}
        6    0.000    0.000    0.000    0.000 core.py:1052(__init__)
        1    0.000    0.000    0.000    0.000 machar.py:4(<module>)
        2    0.000    0.000    0.000    0.000 shape_base.py:1(<module>)
       50    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
       30    0.000    0.000    0.000    0.000 {sys._getframe}
       49    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
       40    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
        1    0.000    0.000    0.000    0.000 __init__.py:265(_reset_cache)
       49    0.000    0.000    0.000    0.000 collections.py:347(<genexpr>)
       50    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 codecs.py:1034(make_identity_dict)
        5    0.000    0.000    0.000    0.000 __init__.py:382(__getitem__)
        1    0.000    0.000    0.000    0.000 posixpath.py:11(<module>)
       26    0.000    0.000    0.000    0.000 sre_parse.py:68(__init__)
       68    0.000    0.000    0.000    0.000 string.py:308(join)
        1    0.000    0.000    0.000    0.000 _base.py:21(gp_fixargs)
        4    0.000    0.000    0.000    0.000 {_ctypes.LoadLibrary}
       23    0.000    0.000    0.001    0.000 core.py:5928(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:71(search_function)
       68    0.000    0.000    0.000    0.000 inspect.py:142(isfunction)
        1    0.000    0.000    0.000    0.000 _base.py:579(__getitem__)
        2    0.000    0.000    0.000    0.000 {built-in method today}
        1    0.000    0.000    0.000    0.000 defchararray.py:1732(chararray)
        1    0.000    0.000    0.000    0.000 geocoding.py:21(<module>)
        4    0.000    0.000    0.000    0.000 uuid.py:101(__init__)
        1    0.000    0.000    0.000    0.000 _mapping.py:591(Layer)
      124    0.000    0.000    0.000    0.000 {max}
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        2    0.000    0.000    0.000    0.000 threading.py:259(__init__)
        1    0.000    0.000    0.000    0.000 schematics.py:17(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:433(_construct_char_code_lookup)
        2    0.000    0.000    0.000    0.000 utils.py:113(__call__)
        1    0.000    0.000    0.000    0.000 da.py:14(<module>)
        1    0.000    0.000    0.000    0.000 lr.py:21(<module>)
       15    0.000    0.000    0.000    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:288(LayoutElementSpecializationMixin)
        2    0.000    0.000    0.000    0.000 {dir}
        1    0.000    0.000    0.000    0.000 pprint.py:35(<module>)
      121    0.000    0.000    0.000    0.000 {any}
        1    0.000    0.000    0.000    0.000 fabric.py:18(<module>)
       19    0.000    0.000    0.000    0.000 ntpath.py:203(dirname)
        1    0.000    0.000    0.000    0.000 keyword.py:11(<module>)
        1    0.000    0.000    0.000    0.000 md.py:18(<module>)
       40    0.000    0.000    0.000    0.000 numerictypes.py:155(english_upper)
        1    0.000    0.000    0.000    0.000 _graph.py:306(Graph)
       43    0.000    0.000    0.000    0.000 _inspect.py:161(<lambda>)
        1    0.000    0.000    0.000    0.000 case.py:133(TestCase)
        2    0.000    0.000    0.000    0.000 getlimits.py:267(max)
        8    0.000    0.000    0.000    0.000 core.py:7137(getdoc)
        5    0.000    0.000    0.000    0.000 __init__.py:375(__getattr__)
        4    0.000    0.000    0.000    0.000 sre_parse.py:217(isname)
        1    0.000    0.000    0.000    0.000 _base.py:539(GPEnvironment)
        2    0.000    0.000    0.000    0.000 getlimits.py:242(__init__)
        1    0.000    0.000    0.000    0.000 <string>:7(Chebyshev)
        1    0.000    0.000   20.324   20.324 _base.py:532(set_)
        1    0.000    0.000    0.000    0.000 <string>:7(Polynomial)
        9    0.000    0.000    0.000    0.000 extras.py:243(getdoc)
        1    0.000    0.000    0.000    0.000 <string>:7(Laguerre)
       40    0.000    0.000    0.000    0.000 _inspect.py:24(isfunction)
        2    0.000    0.000    0.000    0.000 utils.py:157(deprecate)
        1    0.000    0.000    0.000    0.000 {sorted}
      114    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       21    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <string>:7(Legendre)
        9    0.000    0.000    0.000    0.000 core.py:2436(getdoc)
        1    0.000    0.000    0.000    0.000 ta.py:16(<module>)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
