Looking in "D:\s\yt_courbe_niveau_imperial.gdb" 
Feature classes found: 424
         43925 function calls (41924 primitive calls) in 27.475 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 ctypeslib.py:51(<module>)
       28    0.000    0.000    0.030    0.001 re.py:226(_compile)
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _na.py:14(<module>)
        1    0.000    0.000    0.000    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 _import_tools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 records.py:36(<module>)
      402    0.000    0.000    0.000    0.000 inspect.py:837(strseq)
        1    0.000    0.000    0.000    0.000 heapq.py:31(<module>)
      159    0.000    0.000    0.001    0.000 sre_compile.py:355(_simple)
        1    0.000    0.000    0.000    0.000 signals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       71    0.000    0.000    0.001    0.000 functools.py:17(update_wrapper)
       87    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      772    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
      866    0.000    0.000    0.000    0.000 {min}
      551    0.000    0.000    0.000    0.000 sre_parse.py:139(append)
       26    0.000    0.000    0.003    0.000 sre_compile.py:362(_compile_info)
       16    0.000    0.000    0.020    0.001 {map}
  251/244    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
      373    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
        1    0.000    0.000    0.001    0.001 threading.py:1(<module>)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
        1    0.000    0.000    0.000    0.000 polyutils.py:33(<module>)
       68    0.000    0.000    0.001    0.000 inspect.py:803(getargspec)
        2    0.000    0.000    0.000    0.000 {nt.listdir}
        1    0.000    0.000    0.000    0.000 __init__.py:494(BufferingFormatter)
      758    0.000    0.000    0.000    0.000 _base.py:508(gptooldoc)
       48    0.000    0.000    0.002    0.000 genericpath.py:15(exists)
      161    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        3    0.000    0.000    0.000    0.000 numeric.py:207(extend_all)
       40    0.000    0.000    0.000    0.000 ntpath.py:164(split)
        1    0.000    0.000    0.000    0.000 geometries.py:15(<module>)
        1    0.000    0.000    0.003    0.003 mapping.py:15(<module>)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       31    0.000    0.000    0.000    0.000 _inspect.py:157(formatargspec)
       49    0.000    0.000    0.000    0.000 _base.py:529(propfactory)
        1    0.000    0.000    2.682    2.682 _base.py:547(__init__)
        1    0.000    0.000    0.000    0.000 Utils.py:17(<module>)
       42    0.000    0.000    0.002    0.000 genericpath.py:26(isfile)
        1    0.000    0.000    0.000    0.000 arc.py:18(<module>)
      389    0.000    0.000    0.000    0.000 collections.py:323(<genexpr>)
       26    0.000    0.000    0.013    0.001 sre_parse.py:676(parse)
        5    0.000    0.000    0.000    0.000 __init__.py:349(__init__)
        1    0.000    0.000    0.000    0.000 numpytest.py:1(<module>)
       26    0.000    0.000    0.029    0.001 sre_compile.py:496(compile)
        1    0.000    0.000    0.000    0.000 format.py:136(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:302(_add_aliases)
       22    0.000    0.000    0.000    0.000 time.py:240(FixDTString)
        2    0.000    0.000    0.003    0.002 util.py:49(find_library)
       26    0.000    0.000    0.000    0.000 numerictypes.py:230(bitname)
        1    0.000    0.000    0.000    0.000 util.py:32(find_msvcrt)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polytemplate.py:11(<module>)
      267    0.000    0.000    0.000    0.000 {numpy.lib._compiled_base.add_docstring}
        1    0.000    0.000    0.000    0.000 helper.py:3(<module>)
     53/2    0.000    0.000    0.006    0.003 glob.py:29(iglob)
        1    0.000    0.000    0.000    0.000 _internal.py:191(_getintp_ctype)
        8    0.000    0.000    0.003    0.000 utils.py:212(maskmethods)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 arcobjectconversion.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _inspect.py:6(<module>)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
      882    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
       31    0.000    0.000    0.000    0.000 _inspect.py:59(getargs)
      158    0.000    0.000    0.000    0.000 {range}
       48    0.000    0.000    0.003    0.000 glob.py:80(glob0)
        3    0.000    0.000    0.000    0.000 __init__.py:78(CFUNCTYPE)
      276    0.000    0.000    0.000    0.000 inspect.py:848(<lambda>)
      284    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      121    0.000    0.000    0.000    0.000 ntpath.py:55(isabs)
      330    0.000    0.000    0.000    0.000 {repr}
       88    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
        1    0.000    0.000    0.002    0.002 ElementPath.py:59(<module>)
       27    0.000    0.000    0.000    0.000 core.py:821(__init__)
        1    0.000    0.000    0.000    0.000 arcobjects.py:1086(Row)
      351    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       71    0.000    0.000    0.000    0.000 functools.py:39(wraps)
       23    0.000    0.000    0.001    0.000 core.py:5932(getdoc)
       26    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 ctypeslib.py:306(prep_simple)
       74    0.000    0.000    0.000    0.000 _inspect.py:150(strseq)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
       84    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 conversion.py:15(<module>)
       40    0.000    0.000    0.000    0.000 _inspect.py:118(getargspec)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
       19    0.000    0.000    0.000    0.000 nosetester.py:137(__init__)
       40    0.000    0.000    0.001    0.000 core.py:107(get_object_signature)
       21    0.000    0.000    0.000    0.000 numerictypes.py:217(_evalname)
        1    0.000    0.000    2.682    2.682 _base.py:528(GPEnvironments)
       79    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 defchararray.py:17(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:493(PYFUNCTYPE)
       14    0.000    0.000    0.000    0.000 __init__.py:147(_check_size)
       70    0.000    0.000    0.000    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
       22    0.000    0.000    0.000    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.000    0.000 mixins.py:600(MapDocumentMethods)
        1    0.000    0.000    0.000    0.000 cartography.py:19(<module>)
      122    0.000    0.000    0.000    0.000 {filter}
       26    0.000    0.000    0.015    0.001 sre_compile.py:481(_code)
      136    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x1E227020}
       49    0.000    0.000    0.000    0.000 {all}
    61/28    0.000    0.000    0.000    0.000 _base.py:512(fixcol)
       30    0.000    0.000    0.000    0.000 numerictypes.py:448(_add_array_type)
